agency,subagency,recipient,obligation
Department of Housing and Urban Development,Department of Housing and Urban Development,Other,0
Department of Health and Human Services,Office of Assistant Secretary for Preparedness and Response,Other,0
Department of Homeland Security,Office of the Chief Information Officer,Other,0
Department of Health and Human Services,Immediate Office of the Secretary,Other,0
Department of Defense,Joint Improvised Explosive Device Defeat Organization,Other,0
Department of Health and Human Services,Office of the Assistant Secretary for Financial Resources,Other,0
Department of Agriculture,Office of the Judicial Officer,Other,2828.48
Department of State,Bureau of Near Eastern Affairs,Other,4600
Department of Labor,Employees Compensation Appeals Board,Other,7950
Department of the Interior,Insular Affairs,Other,14636.68
U.S. Tax Court,U.S. Tax Court,Other,28644.76
Department of Agriculture,Office of Advocacy and Outreach,Other,46556.69
Commission of Fine Arts,Commission of Fine Arts,Other,78084.95
Department of Labor,Office of the Deputy Under Secretary for Congressional Affairs,Other,80033.44
Department of Agriculture,Office of Administrative Law Judge,Other,80402
Department of Commerce,National Technical Information Service,Other,81228.48
Department of Agriculture,Office of Budget and Program Analysis,Other,112494.46
The Legislative Branch,Joint House and Senate Entities,Other,133767.42
General Services Administration,Office of Congressional and Intergovernmental Affairs,Other,140852.5
Department of Health and Human Services,Office of the General Counsel,Other,141787.44
Northern Border Regional Commission,Northern Border Regional Commission,Other,144617
Department of Labor,Department of Labor,Other,206096.26
Department of Health and Human Services,Office of Medicare Hearings and Appeals,Other,243701.66
Administrative Conference of the U.S.,Administrative Conference of the U.S.,Other,294906
Department of Labor,Benefits Review Board,Other,301072.19
Department of Labor,Immediate Office of the Secretary,Other,348082.55
American Battle Monuments Commission,American Battle Monuments Commission,Other,372603.39
Department of Health and Human Services,Office of Assistant Secretary for Planning and Evaluation,Other,378453.98
Library of Congress,Library of Congress,Other,416366.63
Denali Commission,Denali Commission,Other,425524.97
Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,Other,432439.2
Department of Agriculture,Immediate Office of the Secretary of Agriculture,Other,446105.11
Department of the Treasury,Special Inspector General for the Troubled Asset Relief Program (TARP),Other,447659.02
Office of Government Ethics,Office of Government Ethics,Other,462279.84
General Services Administration,Office of Mission Assurance,Other,484494.36
Department of Health and Human Services,Office for Civil Rights,Other,503507.27
Federal Housing Finance Agency,Federal Housing Finance Agency,Other,532155.27
National Mediation Board,National Mediation Board,Other,543747.62
Department of Agriculture,Office of Human Resource Management,Other,567825.23
Department of the Interior,National Indian Gaming Commission,Other,592726.92
Department of Agriculture,Office of Executive Secretariat,Other,604978.3
Surface Transportation Board,Surface Transportation Board,Other,621940.87
U.S. Postal Service,U.S. Postal Service,Other,647562.06
Gulf Coast Ecosystem Restoration Council,Gulf Coast Ecosystem Restoration Council,Other,675698.33
Department of Defense,National Security Agency/Central Security Service,Other,695093.8
Department of Agriculture,National Appeals Division,Other,813644
Department of Agriculture,Office of Ethics,Other,822852.03
General Services Administration,Office of General Counsel,Other,908843.76
Department of Health and Human Services,Office of Intergovernmental and External Affairs,Other,936144.19
Department of Agriculture,Forest Service,AIR WEST INC,1000000
Department of Defense,Defense Advanced Research Projects Agency,GENTECH ASSOCIATES INC,1000000
Department of Defense,Defense Health Agency,BIO1 SYSTEMS LLC,1000000
Department of Defense,Defense Health Agency,CRITICAL INNOVATIONS LLC,1000000
Department of Defense,Defense Health Agency,INTELLIGENT AUTOMATION INC,1000000
Department of Defense,Defense Health Agency,SEACOAST SCIENCE INC,1000000
Department of Defense,Defense Health Agency,TDA RESEARCH INC,1000000
Department of Defense,Defense Threat Reduction Agency,TECHNOLOGY SERVICE CORPORATION,1000000
Department of Defense,Department of the Air Force,AIR FORCE HERITAGE FLIGHT FOUNDATION,1000000
Department of Defense,Department of the Navy,POLYPLUS BATTERY COMPANY,1000000
Department of Defense,Department of the Navy,TOUCHSTONE RESEARCH LABORATORY LTD INC,1000000
Department of Energy,Department of Energy,RC CONSTRUCTION SERVICES INC,1000000
Department of Health and Human Services,Office of the Assistant Secretary for Administration,WASHINGTON STATE COALITION AGAINST DOMESTIC VIOLENCE THE,1000000
Department of Homeland Security,Office of the Under Secretary for Science and Technology,TDA RESEARCH INC,1000000
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,WASHOE COUNTY OF,1000000
Department of the Treasury,Bureau of the Fiscal Service,TRANSWORLD SYSTEMS INC,1000000
Department of Veterans Affairs,Department of Veterans Affairs,1445 HOWELL AVENUE OPERATIONS LLC,1000000
Department of Veterans Affairs,Department of Veterans Affairs,CRISIS CENTER OF TAMPA BAY INC THE,1000000
Department of Veterans Affairs,Department of Veterans Affairs,EXTREME GOVERNMENT SOLUTIONS LLC,1000000
Department of Veterans Affairs,Department of Veterans Affairs,HOSPITAL AUTHORITY OF NORFOLK,1000000
Department of Veterans Affairs,Department of Veterans Affairs,JACQUELINE STARK NURSING PC,1000000
Department of Veterans Affairs,Department of Veterans Affairs,LOWNDES COUNTY HEALTH SERVICES LLC,1000000
Department of Veterans Affairs,Department of Veterans Affairs,SENIOR FRIENDSHIP CENTERS INC,1000000
Export-Import Bank of the United States,Export-Import Bank of the United States,VEDDER PRICE PC,1000000
National Aeronautics and Space Administration,National Aeronautics and Space Administration,MCKINSEY & COMPANY INC WASHINGTON DC,1000000
Office of Personnel Management,Office of Personnel Management,PITNEY BOWES BANK INC THE,1000000
General Services Administration,Public Buildings Service,ANCHORAGE MUNICIPALITY OF,1000002
Department of Defense,Department of Defense,TECH-X CORPORATION,1000214
Department of Defense,Department of the Navy,SCIMITAR TECHNOLOGIES LLC,1000215
Department of Defense,Defense Advanced Research Projects Agency,UNIVERSITY OF CALIFORNIA DAVIS,1000399.28
Department of Agriculture,Forest Service,STORMWATER PLANS LLC,1000501.48
Department of Defense,Department of the Navy,AFFINITY POWER SYSTEMS LLC,1000505
Department of Defense,Department of the Army,INTEGRATED MICROWAVE TECHNOLOGY LLC,1000635.4
Department of Defense,Department of the Air Force,TRIAD SEMICONDUCTOR INC,1000650
Department of Defense,Department of the Air Force,QUALCOMM TECHNOLOGIES INC,1000734
Department of Agriculture,Agricultural Marketing Service,TFC POULTRY LLC,1000800
Department of Defense,Department of the Air Force,ADA PLATFORM TECHNOLOGY LLC,1000816
Department of Defense,Department of the Navy,TRUSTEES OF INDIANA UNIVERSITY,1000835.86
Department of Energy,Department of Energy,PHYSICAL ELECTRONICS USA INC,1000892.5
Department of Veterans Affairs,Department of Veterans Affairs,P & R HOSPITALITY LLC,1000986
Department of the Interior,Bureau of Land Management,AMERICAN CONSERVATION EXPERIENCE,1000990.87
Department of Defense,Department of the Navy,ADORAMA INC,1000999.71
Department of Justice,Federal Bureau of Investigation,SYNTERAS LLC,1001135.64
Department of Veterans Affairs,Department of Veterans Affairs,AULSON CO INC THE,1001595.01
Department of Veterans Affairs,Department of Veterans Affairs,STRATEGIC HEALTHCARE LLC,1001641.42
Department of Defense,U.S. Army Corps of Engineers - Civil Program Financing Only,NATIONAL ELECTRIC COIL INC,1001778.53
Department of Agriculture,Forest Service,STEELHEAD ENTERPRISES LLC,1001826.52
Department of Veterans Affairs,Department of Veterans Affairs,ACETRIS HEALTH LLC,1001950.64
Department of Defense,Defense Health Agency,FIRST DATABANK INC,1002000
Department of Defense,Department of the Air Force,INTEGRI LLC,1002112.94
Department of Defense,Department of the Navy,CALIFORNIA INSTITUTE OF TECHNOLOGY,1002208.57
Department of Health and Human Services,Office of the Assistant Secretary for Administration,ICALLIDUS INC,1002228
Department of Veterans Affairs,Department of Veterans Affairs,TECHNICAL ASSISTANCE PARTNERSHIP OF ARIZONA,1002292.98
Department of Homeland Security,U.S. Coast Guard,ENVIRONMENTAL MGMT SPECIALISTS INC,1002400
Department of Defense,Department of the Army,DIAGNOSTICA STAGO INC,1002411.04
Department of Health and Human Services,Indian Health Service,NATIVEVET MATERIEL LLC,1002421.45
Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,DELOITTE & TOUCHE LLP,1002516.8
Department of Defense,Defense Logistics Agency,DRI RELAYS INC,1002526.86
Department of Health and Human Services,Centers for Disease Control and Prevention,GRIFOLS USA LLC,1002586.48
Department of Defense,Department of the Navy,JIN,1002688.5
Securities and Exchange Commission,Securities and Exchange Commission,NATIONAL ECONOMIC RESEARCH ASSOCIATES INC,1002817.6
Department of the Interior,U.S. Fish and Wildlife Service,AMERIVET ENTERPRISES LLC,1002907.48
Department of Agriculture,Economic Research Service,INFORMATION RESOURCES INC,1003000
Department of Defense,Defense Logistics Agency,3ON SYSTEMS INC,1003007.4
Department of Defense,Department of the Navy,VALIDATEK-CITI LLC,1003282.58
Department of Defense,Defense Health Agency,GETINGE USA INC,1003453.92
Department of Defense,Department of the Army,GEOSYNTEC CONSULTANTSINC,1003495.87
Department of Defense,Department of the Navy,DELAVAN INC,1003507.45
Department of Agriculture,Farm Service Agency,SINAMCO TRADING INC,1003593
Department of Defense,Department of the Navy,SOUTHERN MAINTENANCE INC,1003658.81
Department of Defense,Department of the Air Force,BOSE CORPORATION,1003771.18
Department of Defense,Missile Defense Agency,WOLF CREEK FEDERAL SERVICES INC,1003811.53
Department of Veterans Affairs,Department of Veterans Affairs,AMERICAN MEDICAL RESPONSE NORTHWEST INC,1003934.25
Department of Health and Human Services,National Institutes of Health,ENDYNA INC,1004062.77
Department of Commerce,National Oceanic and Atmospheric Administration,TETRA TECH INC,1004140.87
Department of Defense,Department of the Army,JUSTIN J REEVES LLC,1004159.36
Department of Defense,Department of the Air Force,NOBIS ENTERPRISES INC,1004185.81
Department of the Interior,Bureau of Land Management,VF IMAGEWEAR INC,1004200
Agency for International Development,Agency for International Development,LOGIK,1004260.5
Department of Agriculture,Animal and Plant Health Inspection Service,DELL MARKETING LP,1004374.34
Department of Defense,Defense Logistics Agency,STEELMASTERS OF COLUMBUS INC,1004400.5
Department of Defense,Defense Logistics Agency,BAHR MACHINE CO,1004424.1
Department of Homeland Security,Office of the Chief Information Officer,VISIONARY INTEGRATION PROFESSIONALS LLC,1004544.02
Department of Justice,Federal Prison System / Bureau of Prisons,CONROYS CHOICES INC,1004554
Department of Defense,Defense Health Agency,POINT ROCK SOLUTIONS LLC,1004568.6
Department of Defense,U.S. Army Corps of Engineers - Civil Program Financing Only,HAMPS CONSTRUCTION LLC,1004606.5
Department of Defense,Department of the Air Force,LG2 ENVIRONMENTAL SOLUTIONS INC,1004693
Department of Defense,Department of Defense,ISHPI INFORMATION TECHNOLOGIES INC,1004716.93
Peace Corps,Peace Corps,MISCELLANEOUS FOREIGN AWARDEES,1004837.41
Department of Defense,Department of Defense,INTELLIPEAK SOLUTIONS INC,1004922.7
Department of Homeland Security,U.S. Immigration and Customs Enforcement,JESUIT REFUGEE SERVICE USA,1004924.53
Department of Agriculture,Forest Service,R CHRISTOPHER GOODWIN & ASSOCIATES INC,1004970.02
Department of Veterans Affairs,Department of Veterans Affairs,SUN NUCLEAR CORP,1004979.85
Department of Defense,Defense Advanced Research Projects Agency,MICROSEMI FREQUENCY AND TIME CORPORATION,1005000
Securities and Exchange Commission,Securities and Exchange Commission,BRIGHT HORIZONS FAMILY SOLUTIONS LLC,1005000
Department of the Interior,National Park Service,NORTH WIND CONSTRUCTION SERVICES LLC,1005055.12
Department of Defense,Department of the Navy,ADVANCED VISION SYSTEMS INC,1005474.45
Agency for International Development,Agency for International Development,TECHNOLOGY AND TELECOMMUNICATIONS CONSULTANTS INC,1005522
Department of Defense,Defense Threat Reduction Agency,FLIR DETECTION INC,1005570
Department of Defense,Defense Logistics Agency,C2G LTD CO,1005605.37
Federal Trade Commission,Federal Trade Commission,COMPUTER MARKETING ASSOCIATESINC,1005829.76
