"sub","name","size"
"","FOUR POINTS TECHNOLOGY LLC",733363
"","POTOMAC YARDS ACQUISITION LLC",65000
"","FARSAKH TRAINING & CONSUTLING LLC",9062
"","SHELLINGFORD PTE LTD",6000
"Access Board","1901 GROUP LLC",454501.2
"Access Board","MANCOM INC",379975.83
"Access Board","FEITH SYSTEMS AND SOFTWARE INC",197162
"Access Board","BNF TECHNOLOGIES INC",151200.72
"Access Board","AZ CYBER SECURITY SOLUTIONS INC",115500
"Access Board","3LINKS TECHNOLOGIES INC",59368.01
"Access Board","DEVELOPMENT INFOSTRUCTURE INC",55203.46
"Access Board","THUNDERCAT TECHNOLOGY LLC",52423.67
"Access Board","UNIVERSITY OF ILLINOIS",44863.92
"Access Board","PATRIOT TECHNOLOGIES INC",42994.42
"Administrative Conference of the U.S.","HIRE ONE PERSONNEL SERVICES OF WASHINGTON DC LLC",181523
"Administrative Conference of the U.S.","AMPLIA GROUP LLC",60000
"Administrative Conference of the U.S.","ROCHA & COMPANY PC",22000
"Administrative Conference of the U.S.","FEDRESULTS INC",13731
"Administrative Conference of the U.S.","RELX INC",9252
"Administrative Conference of the U.S.","GOVPREDICT INC",8400
"Administrative Office of the U.S. Courts","AMCORE CONSTRUCTION LLC",963462.91
"Administrative Office of the U.S. Courts","TIC SECURITY LLC",894967.6
"Administrative Office of the U.S. Courts","ARNOLD ELECTRIC INC",865893.77
"Administrative Office of the U.S. Courts","ELCI CONSTRUCTION GROUP INC",812400
"Administrative Office of the U.S. Courts","E-CORP",809320.16
"Administrative Office of the U.S. Courts","EASTERN CONSTRUCTION & ELECTRIC INC",804124.76
"Administrative Office of the U.S. Courts","NEW AGE PROTECTION INC",770426.28
"Administrative Office of the U.S. Courts","MC DODD CONSTRUCTION LLC",759772.66
"Administrative Office of the U.S. Courts","HEARD CONSTRUCTION INC",753838.84
"Administrative Office of the U.S. Courts","QED ENTERPRISES INC",732667
"Administrative Review Board","ACCENTURE FEDERAL SERVICES LLC",400002.79
"Administrative Review Board","MINDPETAL SOFTWARE SOLUTIONS INC",365271
"Administrative Review Board","MICROPACT FEDERAL LLC",203402.26
"Administrative Review Board","BOOZ ALLEN HAMILTON INC",181209.84
"Administrative Review Board","WEST PUBLISHING CORPORATION",5131.99
"Administrative Review Board","CELLCO PARTNERSHIP",3859.28
"Advisory Council on Historic Preservation","AGILEANA LC",103483.5
"Advisory Council on Historic Preservation","WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY",51000
"Advisory Council on Historic Preservation","GOVSMART INC",50000
"Advisory Council on Historic Preservation","AUGUST SCHELL ENTERPRISES INC",41235.6
"Advisory Council on Historic Preservation","RED RIVER TECHNOLOGY LLC",30167.19
"Advisory Council on Historic Preservation","SOFTCHOICE CORPORATION",24309.46
"Advisory Council on Historic Preservation","ACHP ALUMNI FOUNDATION",23361.45
"Advisory Council on Historic Preservation","STRATEGIC TECHNICAL SERVICES LLC",22766.28
"Advisory Council on Historic Preservation","NORSEMAN INC",20590
"Advisory Council on Historic Preservation","IBEX IT BUSINESS EXPERTS LLC",20000
"Agency for Healthcare Research and Quality","L & M POLICY RESEARCH LLC",943979
"Agency for Healthcare Research and Quality","ABT ASSOCIATES INC",871648.55
"Agency for Healthcare Research and Quality","EVENT PLANNING GROUP LLC THE",784460
"Agency for Healthcare Research and Quality","JHC TECHNOLOGY INC",740963
"Agency for Healthcare Research and Quality","CLINOVATIONS GOVERNMENT  HEALTH INC",687581
"Agency for Healthcare Research and Quality","AMERICAN INSTITUTES FOR RESEARCH IN THE BEHAVIORAL SCIENCES",613539
"Agency for Healthcare Research and Quality","AFYA INC",613410.17
"Agency for Healthcare Research and Quality","MAYO CLINIC",540000
"Agency for Healthcare Research and Quality","INSIGHT POLICY RESEARCH INC",524221
"Agency for Healthcare Research and Quality","SENSIS INC",500000
"Agency for International Development","SEGURA CONSULTING LLC",990000
"Agency for International Development","MACS MARITIME CARRIER SHIPPING PTE LTD",987952.29
"Agency for International Development","EMERGENT LLC",986623.06
"Agency for International Development","CFP INTERNATIONAL LLC",974000
"Agency for International Development","QENDRA KOMBETARE BURIMORE E TRAJNIMIT DHE ASISTENCES TEKNIKE",948332.12
"Agency for International Development","COLLEAGUE CONSULTING LLC",903500.31
"Agency for International Development","EQUINIX GOVERNMENT SOLUTIONS LLC",899799.08
"Agency for International Development","UNIVERSAL NAVIGATION PTE LTD",899239.93
"Agency for International Development","TRUSTEES OF TUFTS COLLEGE INC",875099.8
"Agency for International Development","MEDICAL EQUIPMENT SOLUTIONS CORP",859680
"Agricultural Marketing Service","DE LUNE CORP",975307.2
"Agricultural Marketing Service","ALL-AMERICAN FARMS INC",960928.97
"Agricultural Marketing Service","AGILENT TECHNOLOGIES INC",926218.9
"Agricultural Marketing Service","HOLM DEL RAY & SONS INC",923121.22
"Agricultural Marketing Service","AQUAS INCORPORATED",916372.8
"Agricultural Marketing Service","SCIQUEST INC",865934.03
"Agricultural Marketing Service","NORTHWEST BERRY COOP",855891.19
"Agricultural Marketing Service","TEASDALE FOODS INC",813483.54
"Agricultural Marketing Service","SES INC",803872.92
"Agricultural Marketing Service","GRACELAND FRUIT INC",802120.7
"Agricultural Research Service","MDJ CONTRACTING INC",977960
"Agricultural Research Service","CIMARRON CONSTRUCTION CORPORATION",918903.15
"Agricultural Research Service","D R HOLTZE CONTRACTING INC",906065
"Agricultural Research Service","PERCIVAL SCIENTIFIC INCORPORATED",894454.83
"Agricultural Research Service","NICHOLS CONTRACTING INC",884280
"Agricultural Research Service","GOVERNMENT ACQUISITIONS INC",869365.4
"Agricultural Research Service","SCHNEIDER ELECTRIC BUILDINGS AMERICAS INC",862680.7
"Agricultural Research Service","CARAHSOFT TECHNOLOGY CORP",853454.09
"Agricultural Research Service","CEREBRAL GROUP LLC",825317.93
"Agricultural Research Service","LOUVIERE STRATTON & YOKEL LLC",808762.61
"Alcohol and Tobacco Tax and Trade Bureau","SJ TECHNOLOGIES INC",639435.26
"Alcohol and Tobacco Tax and Trade Bureau","THERMO ELECTRON NORTH AMERICA LLC",474001.95
"Alcohol and Tobacco Tax and Trade Bureau","FCN INC",449288.63
"Alcohol and Tobacco Tax and Trade Bureau","TECHGLOBAL INC",445275.14
"Alcohol and Tobacco Tax and Trade Bureau","MESSER CONSTRUCTION CO",422892
"Alcohol and Tobacco Tax and Trade Bureau","CSF TECHNOLOGIES INC",328232.56
"Alcohol and Tobacco Tax and Trade Bureau","EXECUTIVE INFORMATION SYSTEMS LLC",325077.64
"Alcohol and Tobacco Tax and Trade Bureau","DYNAMIC SYSTEMS INC",214896.42
"Alcohol and Tobacco Tax and Trade Bureau","INTELLIGENT WAVES LLC",169764.3
"Alcohol and Tobacco Tax and Trade Bureau","LT BUSINESS SOLUTIONS LLC",158891.2
"American Battle Monuments Commission","NETWORK DESIGNS INC",345430.44
"American Battle Monuments Commission","TRAFIMAR RELOCATION SERVICES SA DE CV",25521.99
"American Battle Monuments Commission","JVCKENWOOD USA CORPORATION",1650.96
"Animal and Plant Health Inspection Service","ZOETIS INC",970050.4
"Animal and Plant Health Inspection Service","COMMUNICATIONS RESOURCE INCORPORATED",955943.07
"Animal and Plant Health Inspection Service","GOVERNMENT SCIENTIFIC SOURCE INC",938500.73
"Animal and Plant Health Inspection Service","DELTA 21 RESOURCES INC",917770.07
"Animal and Plant Health Inspection Service","STARS II PARTNERSHIP JOINT VENTURE LLC",862425.92
"Animal and Plant Health Inspection Service","RED RIVER TECHNOLOGY LLC",857881.27
"Animal and Plant Health Inspection Service","CROSBY MARKETING COMMUNICATIONS INC",849291
"Animal and Plant Health Inspection Service","DEL RIO FEED & SUPPLY LLC",829080.5
"Animal and Plant Health Inspection Service","GENERAL MOTORS LLC",828385
"Animal and Plant Health Inspection Service","FEDSCALE INC",795640
"Armed Forces Retirement Home","MISSISSIPPI POWER COMPANY",754937.96
"Armed Forces Retirement Home","CERTIFIED TECHNICAL EXPERTS INC",656470.84
"Armed Forces Retirement Home","WHITESTONE GROUP INC THE",519995.16
"Armed Forces Retirement Home","MARATHON MEDICAL CORPORATION",501984.82
"Armed Forces Retirement Home","CENTRALCARE INCORPORATED",467356.47
"Armed Forces Retirement Home","DAVEY TREE EXPERT COMPANY THE",455668.86
"Armed Forces Retirement Home","MILLENNIUM PHARMACY SYSTEMS LLC",450610.13
"Armed Forces Retirement Home","MANTONI MOBILE DENTISTRY DDS PC",449760.5
"Armed Forces Retirement Home","SYTE CORPORATION",388467
"Armed Forces Retirement Home","ENSOFTEK INC",359932.9
"Assistant Secretary for Departmental Management","ENG SOLUTIONS INC",760000
"Assistant Secretary for Departmental Management","BIXAL SOLUTIONS INCORPORATED",400000
"Assistant Secretary for Departmental Management","BLOOMSBURIE LLC",241384.36
"Assistant Secretary for Departmental Management","ERNST & YOUNG LLP",175000
"Assistant Secretary for Departmental Management","CARAHSOFT TECHNOLOGY CORP",98139.15
"Assistant Secretary for Departmental Management","CHANG-CASTILLO AND ASSOCIATES LLC",80000
"Assistant Secretary for Departmental Management","EAGLE HILL CONSULTING LLC",42652.8
"Assistant Secretary for Departmental Management","SOFT EDGE INC THE",4750
"Assistant Secretary for Departmental Management","AGGERWHIL SERYKAH",-21537.9
"Benefits Review Board","PATTON CONSTRUCTION INC",263643.27
"Benefits Review Board","JURIS PUBLISHING INC",22885
"Benefits Review Board","RELX INC",7325
"Benefits Review Board","EZEKIEL CONSTRUCTION INC",7218.92
"Broadcasting Board of Governors","FISH & NET ENTERTAINMENT LLC",988000
"Broadcasting Board of Governors","GFK CUSTOM RESEARCH LLC",935380
"Broadcasting Board of Governors","MAC BUSINESS SOLUTIONS INC",879247.94
"Broadcasting Board of Governors","AGENCE FRANCE PRESSE",860699.92
"Broadcasting Board of Governors","WEBFIRST INC",854592
"Broadcasting Board of Governors","DIGITALSPEC LLC",843000
"Broadcasting Board of Governors","TECH DATA GOVERNMENT SOLUTIONS LLC",828384.5
"Broadcasting Board of Governors","GOLDEN KEY GROUP LLC",815723.18
"Broadcasting Board of Governors","ORGANON ADVISORS INC",750000
"Broadcasting Board of Governors","ALBAN TRACTOR CO INC",735034.17
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","ANNAMS SYSTEMS CORPORATION",966988.18
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","RM VREDENBURG & CO",944154.97
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","POTOMAC ELECTRIC POWER COMPANY",900000
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","LINDEN RESOURCES INC",897612.9
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","JENSEN HUGHES INC",868850.52
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","PYRAMID INTERACTIVE LLC",839862.96
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY",832522.3
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","PARABAL INCORPORATED",802931.64
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","NOMAD GLOBAL COMMUNICATION SOLUTIONS INCORPORATED",799182.85
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","JAYBRO GROUP LLC",776581.66
"Bureau of Economic Analysis","METAPHASE CONSULTING LLC",965000
"Bureau of Economic Analysis","BOOZ ALLEN HAMILTON INC",958250.65
"Bureau of Economic Analysis","ZANTECH IT SERVICES INC",898623.13
"Bureau of Economic Analysis","METZGER CONSULTING INCORPORATED",825588.03
"Bureau of Economic Analysis","DELL FEDERAL SYSTEMS LP",616535.24
"Bureau of Economic Analysis","NOVAK BIRCH INC",371130.4
"Bureau of Economic Analysis","ALVAREZ LLC",332760
"Bureau of Economic Analysis","GRAHAM STAFFING SERVICES INC",255320
"Bureau of Economic Analysis","GLOBAL NETWORK SYSTEMS OF MARYLAND INC",242609.24
"Bureau of Economic Analysis","CARAHSOFT TECHNOLOGY CORP",222320.54
"Bureau of Engraving and Printing","BESA EQUIPMENT LLC",998962
"Bureau of Engraving and Printing","SERENA SOFTWARE INC",960000
"Bureau of Engraving and Printing","RUCHMAN AND ASSOCIATES INC",956698.74
"Bureau of Engraving and Printing","CLEAN HARBORS ENVIRONMENTAL SERVICES INC",954482.84
"Bureau of Engraving and Printing","FCN INC",950783.4
"Bureau of Engraving and Printing","ELEVATOR SERVICE INC",856800
"Bureau of Engraving and Printing","MINBURN TECHNOLOGY GROUP LLC",849075.47
"Bureau of Engraving and Printing","MELWOOD HORTICULTURAL TRAINING CENTER INC",835712.26
"Bureau of Engraving and Printing","CENTRAL PARKING SYSTEM INC",811764
"Bureau of Engraving and Printing","SJ TECHNOLOGIES INC",797019.15
"Bureau of Indian Affairs and Bureau of Indian Education","NWEA",997643.66
"Bureau of Indian Affairs and Bureau of Indian Education","RESEARCH & TRAINING ASSOCIATES INC",958933
"Bureau of Indian Affairs and Bureau of Indian Education","TALU LLC",937722.02
"Bureau of Indian Affairs and Bureau of Indian Education","YAKAMA POWER",882442.87
"Bureau of Indian Affairs and Bureau of Indian Education","MOOWEEP LLC",867613.45
"Bureau of Indian Affairs and Bureau of Indian Education","D&B CONSTRUCTION SERVICES LLC",841558.9
"Bureau of Indian Affairs and Bureau of Indian Education","GREEN WATER ENERGY LLC",790161.52
"Bureau of Indian Affairs and Bureau of Indian Education","SPUR AVIATION SERVICES LC",790074.99
