Fiscal year,Total,Total R&D,Total research,Basic research,Applied research,Development,R&D plant
1951,"1,851,571.0","1,521,527.0",NA,NA,NA,NA,"330,044.0"
1952,"2,216,848.0","1,909,665.0",NA,"120,945.0",NA,NA,"307,183.0"
1953,"2,167,456.0","1,919,543.0",NA,"115,997.0",NA,NA,"247,913.0"
1954,"1,918,046.0","1,761,840.0",NA,"116,033.0",NA,NA,"156,206.0"
1955,"2,251,894.0","2,044,593.0",NA,"130,068.0",NA,NA,"207,301.0"
1956,"3,266,903.0","2,988,203.0","851,947.0","206,441.0","645,506.0","2,136,256.0","278,700.0"
1957,"4,389,237.0","3,932,001.0","924,547.0","262,348.0","662,199.0","3,007,454.0","457,236.0"
1958,"4,906,015.0","4,569,722.0","1,078,807.0","334,543.0","744,264.0","3,490,915.0","336,293.0"
1959,"7,122,610.0","6,693,510.0","1,340,253.0","465,981.0","874,272.0","5,353,257.0","429,100.0"
1960,"8,080,015.0","7,551,746.0","1,872,509.0","590,374.0","1,282,135.0","5,679,237.0","528,269.0"
1961,"9,607,023.0","9,058,623.0","2,477,944.0","814,513.0","1,663,431.0","6,580,679.0","548,400.0"
1962,"11,069,059.0","10,289,947.0","3,004,795.0","986,314.0","2,018,481.0","7,285,152.0","779,112.0"
1963,"13,662,879.0","12,494,611.0","3,507,903.0","1,151,753.0","2,356,150.0","8,986,708.0","1,168,268.0"
1964,"15,323,870.0","14,225,354.0","3,874,452.0","1,303,000.0","2,571,452.0","10,350,902.0","1,098,516.0"
1965,"15,745,852.0","14,614,249.0","4,247,230.0","1,435,469.0","2,811,761.0","10,367,019.0","1,131,603.0"
1966,"16,178,640.0","15,320,334.0","4,660,247.0","1,579,181.0","3,081,066.0","10,660,087.0","858,306.0"
1967,"17,149,186.0","16,529,099.0","4,631,390.0","1,845,847.0","2,785,543.0","11,897,709.0","620,087.0"
1968,"16,525,038.0","15,921,208.0","4,781,062.0","1,840,562.0","2,940,500.0","11,140,146.0","603,830.0"
1969,"16,309,900.0","15,640,888.0","4,644,890.0","1,944,773.0","2,700,117.0","10,995,998.0","669,012.0"
1970,"15,863,385.0","15,338,937.0","4,900,798.0","1,925,908.0","2,974,890.0","10,438,139.0","524,448.0"
1971,"16,153,756.0","15,542,512.0","5,123,171.0","1,980,141.0","3,143,030.0","10,419,341.0","611,244.0"
1972,"17,097,951.0","16,495,895.0","5,547,696.0","2,186,937.0","3,360,759.0","10,948,199.0","602,056.0"
1973,"17,574,486.0","16,800,153.0","5,581,429.0","2,232,006.0","3,349,423.0","11,218,724.0","774,333.0"
1974,"18,176,457.0","17,410,128.0","6,175,240.0","2,387,681.0","3,787,559.0","11,234,888.0","766,329.0"
1975,"19,859,548.0","19,038,818.0","6,729,708.0","2,588,427.0","4,141,281.0","12,309,110.0","820,730.0"
